id	url	source	notes
140	https://job-boards.greenhouse.io/unframe/jobs/4840638101	pipeline	Unframe | AI Product Manager (Remote)
141	https://job-boards.greenhouse.io/devrev/jobs/5528192004	pipeline	DevRev | Forward Deployed Architect
142	https://job-boards.greenhouse.io/assemblyai/jobs/4664024005	pipeline	AssemblyAI | Applied AI Engineer
143	https://jobs.ashbyhq.com/superdial/6129fe25-3ad0-4ab9-8548-fe97ce370711	pipeline	SuperDial | Senior Voice AI Engineer
144	https://jobs.ashbyhq.com/notion/25aa4f5c-a0df-4dd7-82b6-ea97c8cad12e	pipeline	Notion | Staff Software Engineer, AI Agentic Search
145	https://jobs.ashbyhq.com/happyrobot.ai/9b99c0bc-6f1b-4ad1-85f3-b7a6edf71102	pipeline	HappyRobot | Forward Deployed Engineer
146	https://www.workatastartup.com/jobs/87890	pipeline	Dot (YC) | Forward Deployed AI Engineer (Remote)
147	https://www.workatastartup.com/jobs/77473	pipeline	FurtherAI (YC) | Forward Deployed Engineer
148	https://job-boards.greenhouse.io/labelbox/jobs/4640927007	scan	Labelbox | Forward Deployed Engineer
149	https://job-boards.greenhouse.io/securityscorecard/jobs/7782217	scan	SecurityScorecard | Senior Product Manager, AI
150	https://job-boards.greenhouse.io/postscript/jobs/8445410002	scan	Postscript | Senior Product Manager, AI
151	https://job-boards.greenhouse.io/samsara/jobs/7742662	scan	Samsara | Senior Program Manager, Sales Programs – AI
152	https://job-boards.greenhouse.io/halcyon/jobs/5727063004	scan	Halcyon | Senior/Principal Program Manager
153	https://job-boards.greenhouse.io/affirm/jobs/7546361003	scan	Affirm | Senior Director, Operations
154	https://job-boards.greenhouse.io/xai/jobs/4717376007	scan	xAI | AI Engineer (Voice) - Enterprise
155	https://job-boards.greenhouse.io/togetherai/jobs/5093344007	scan	Together AI | Senior Platform Engineer, Voice AI
156	https://job-boards.greenhouse.io/hightouch/jobs/5542602004	scan	Hightouch | Software Engineer, AI Agents
157	https://job-boards.greenhouse.io/nebius/jobs/4381327101	scan	Nebius | Senior/Staff ML Engineer (LLMs and Agentic Systems)
158	https://job-boards.greenhouse.io/myriad360/jobs/8402449002	scan	Myriad360 | AI Automation Engineer Tech Lead (Remote)
159	https://job-boards.greenhouse.io/unframe/jobs/4840638101	scan	Unframe | AI Product Manager (Remote)
160	https://job-boards.greenhouse.io/devrev/jobs/5528192004	scan	DevRev | Forward Deployed Architect
161	https://job-boards.greenhouse.io/assemblyai/jobs/4664024005	scan	AssemblyAI | Applied AI Engineer
162	https://www.workatastartup.com/jobs/87890	scan	Dot | Forward Deployed AI Engineer (Remote)
163	https://www.workatastartup.com/jobs/77473	scan	FurtherAI | Forward Deployed Engineer
